"Site Id:";"Motion Laboratories--";

"Record Time";"L1";"L2";"L3";"L12";"L23";"L31";"I1";"I2";"I3";"In";" Freq.";"V-avr";"U-avr";"I-avr";"P";"Q";"S";" PF ";" dI1";" dI2";" dI3";" dIo";" dkW";" dkVAr";"THD L1";"THD L2";"THD L3";"THD L12";"THD L23";"THD L31";"THD I1";"THD I2";"THD I3";"THD In";" P1";" P2";" P3";" Q1";" Q2";" Q3";" kWh_Im";" kWh_Ex";" kVArh-C";" kVArh-I";
"12:36:03";"     128.3 V ";"     128.1 V ";"     127.3 V ";"     221.8 V ";"     221.3 V ";"     221.4 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     59.98 Hz ";"     127.9 V ";"     221.5 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       3.1   ";"       4.0   ";"       2.3   ";"       3.5   ";"       3.2   ";"       2.2   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"12:36:14";"     127.9 V ";"     127.7 V ";"     126.8 V ";"     221.2 V ";"     220.6 V ";"     220.7 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     59.99 Hz ";"     127.4 V ";"     220.8 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       3.0   ";"       4.0   ";"       2.3   ";"       3.5   ";"       3.2   ";"       2.2   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"12:36:24";"     127.9 V ";"     127.7 V ";"     126.9 V ";"     221.2 V ";"     220.8 V ";"     220.6 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     60.00 Hz ";"     127.5 V ";"     220.8 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       3.0   ";"       4.0   ";"       2.3   ";"       3.5   ";"       3.2   ";"       2.2   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"12:36:35";"     127.9 V ";"     127.6 V ";"     126.8 V ";"     221.1 V ";"     220.6 V ";"     220.5 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     60.00 Hz ";"     127.4 V ";"     220.7 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       2.8   ";"       3.5   ";"       2.3   ";"       3.4   ";"       3.2   ";"       2.2   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"12:36:46";"     128.1 V ";"     127.8 V ";"     126.9 V ";"     221.4 V ";"     220.7 V ";"     220.9 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     60.00 Hz ";"     127.6 V ";"     221.0 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       2.8   ";"       3.8   ";"       2.4   ";"       3.5   ";"       3.2   ";"       2.2   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"12:36:57";"     128.1 V ";"     127.8 V ";"     127.0 V ";"     221.4 V ";"     220.9 V ";"     221.0 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     60.00 Hz ";"     127.6 V ";"     221.1 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       2.8   ";"       3.8   ";"       2.4   ";"       3.5   ";"       3.2   ";"       2.2   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"12:37:09";"     127.7 V ";"     127.4 V ";"     126.7 V ";"     220.7 V ";"     220.3 V ";"     220.4 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     60.01 Hz ";"     127.2 V ";"     220.4 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       2.9   ";"       3.8   ";"       2.4   ";"       3.5   ";"       3.2   ";"       2.2   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"12:37:20";"     128.0 V ";"     127.7 V ";"     126.9 V ";"     221.2 V ";"     220.8 V ";"     220.8 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     60.01 Hz ";"     127.5 V ";"     220.9 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       2.8   ";"       3.6   ";"       2.2   ";"       3.5   ";"       3.1   ";"       2.1   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"12:37:31";"     127.9 V ";"     127.6 V ";"     126.9 V ";"     221.1 V ";"     220.7 V ";"     220.8 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     60.00 Hz ";"     127.4 V ";"     220.8 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       2.8   ";"       3.6   ";"       2.2   ";"       3.5   ";"       3.1   ";"       2.1   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"12:37:42";"     127.5 V ";"     127.2 V ";"     126.5 V ";"     220.4 V ";"     220.0 V ";"     220.1 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     60.00 Hz ";"     127.0 V ";"     220.1 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       3.0   ";"       3.8   ";"       2.3   ";"       3.5   ";"       3.2   ";"       2.2   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"12:37:53";"     127.8 V ";"     127.4 V ";"     126.8 V ";"     220.8 V ";"     220.4 V ";"     220.6 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     59.99 Hz ";"     127.3 V ";"     220.6 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       2.8   ";"       3.7   ";"       2.3   ";"       3.5   ";"       3.2   ";"       2.2   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"12:38:04";"     128.0 V ";"     127.7 V ";"     127.0 V ";"     221.2 V ";"     220.8 V ";"     221.0 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     59.99 Hz ";"     127.5 V ";"     221.0 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       2.8   ";"       3.7   ";"       2.3   ";"       3.5   ";"       3.2   ";"       2.2   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"12:38:14";"     127.6 V ";"     127.3 V ";"     126.6 V ";"     220.6 V ";"     220.1 V ";"     220.2 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     59.99 Hz ";"     127.1 V ";"     220.3 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       2.9   ";"       3.7   ";"       2.4   ";"       3.6   ";"       3.2   ";"       2.1   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"12:38:25";"     127.7 V ";"     127.4 V ";"     126.7 V ";"     220.7 V ";"     220.2 V ";"     220.4 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     59.98 Hz ";"     127.2 V ";"     220.4 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       3.0   ";"       3.8   ";"       2.4   ";"       3.5   ";"       3.1   ";"       2.1   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"12:38:37";"     127.8 V ";"     127.5 V ";"     126.8 V ";"     220.9 V ";"     220.4 V ";"     220.6 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     59.99 Hz ";"     127.3 V ";"     220.6 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       3.0   ";"       3.8   ";"       2.4   ";"       3.5   ";"       3.1   ";"       2.1   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"12:38:48";"     127.7 V ";"     127.4 V ";"     126.7 V ";"     220.7 V ";"     220.4 V ";"     220.4 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     59.99 Hz ";"     127.2 V ";"     220.5 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       3.0   ";"       3.7   ";"       2.3   ";"       3.5   ";"       3.2   ";"       2.1   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"12:38:59";"     127.7 V ";"     127.4 V ";"     126.7 V ";"     220.8 V ";"     220.3 V ";"     220.5 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     59.98 Hz ";"     127.2 V ";"     220.5 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       2.8   ";"       3.7   ";"       2.2   ";"       3.4   ";"       3.2   ";"       2.2   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"12:39:10";"     128.0 V ";"     127.7 V ";"     127.0 V ";"     221.2 V ";"     220.7 V ";"     220.9 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     59.99 Hz ";"     127.5 V ";"     220.9 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       2.8   ";"       3.7   ";"       2.2   ";"       3.4   ";"       3.2   ";"       2.2   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"12:39:21";"     127.8 V ";"     127.5 V ";"     126.8 V ";"     221.0 V ";"     220.4 V ";"     220.5 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     59.99 Hz ";"     127.3 V ";"     220.6 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       3.0   ";"       3.9   ";"       2.4   ";"       3.6   ";"       3.3   ";"       2.3   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"12:39:32";"     127.8 V ";"     127.6 V ";"     126.8 V ";"     221.0 V ";"     220.6 V ";"     220.6 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     59.99 Hz ";"     127.4 V ";"     220.7 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       2.8   ";"       3.7   ";"       2.3   ";"       3.5   ";"       3.2   ";"       2.2   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"12:39:43";"     127.9 V ";"     127.7 V ";"     126.9 V ";"     221.2 V ";"     220.7 V ";"     220.7 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     59.99 Hz ";"     127.5 V ";"     220.8 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       2.8   ";"       3.7   ";"       2.3   ";"       3.5   ";"       3.2   ";"       2.2   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"12:39:54";"     127.9 V ";"     127.7 V ";"     127.0 V ";"     221.1 V ";"     220.8 V ";"     220.8 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     60.00 Hz ";"     127.5 V ";"     220.9 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       2.8   ";"       3.5   ";"       2.3   ";"       3.4   ";"       3.2   ";"       2.1   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"12:40:05";"     127.7 V ";"     127.5 V ";"     126.7 V ";"     220.7 V ";"     220.4 V ";"     220.4 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     60.00 Hz ";"     127.3 V ";"     220.5 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       2.7   ";"       3.5   ";"       2.3   ";"       3.4   ";"       3.1   ";"       2.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"12:40:17";"     127.5 V ";"     127.2 V ";"     126.5 V ";"     220.4 V ";"     220.0 V ";"     220.1 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     60.00 Hz ";"     127.0 V ";"     220.1 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       2.7   ";"       3.5   ";"       2.3   ";"       3.4   ";"       3.1   ";"       2.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"12:40:27";"     127.7 V ";"     127.4 V ";"     126.7 V ";"     220.7 V ";"     220.2 V ";"     220.4 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     59.99 Hz ";"     127.2 V ";"     220.4 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       2.9   ";"       3.9   ";"       2.5   ";"       3.6   ";"       3.3   ";"       2.3   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"12:40:39";"     128.0 V ";"     127.7 V ";"     127.0 V ";"     221.3 V ";"     220.8 V ";"     220.9 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     59.99 Hz ";"     127.5 V ";"     221.0 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       2.9   ";"       3.8   ";"       2.4   ";"       3.5   ";"       3.3   ";"       2.2   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"12:40:50";"     128.3 V ";"     128.1 V ";"     127.3 V ";"     221.8 V ";"     221.4 V ";"     221.3 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     60.00 Hz ";"     127.9 V ";"     221.5 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       2.9   ";"       3.8   ";"       2.4   ";"       3.5   ";"       3.3   ";"       2.2   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"12:41:00";"     127.9 V ";"     127.6 V ";"     126.9 V ";"     221.0 V ";"     220.6 V ";"     220.7 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     60.01 Hz ";"     127.4 V ";"     220.7 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       2.7   ";"       3.5   ";"       2.3   ";"       3.4   ";"       3.1   ";"       2.1   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
